date,open,high,low,close,volume
2021-01-05 08:45:00,1020.69,1031.51,1020.32,1026.97,15034.47427
2021-01-05 09:00:00,1026.97,1035.75,1022.43,1031.4,18492.17124
2021-01-05 09:15:00,1031.4,1047.8,1030.8,1046.18,23537.59313
2021-01-05 09:30:00,1046.36,1050.93,1035.66,1047.07,31405.89443
2021-01-05 09:45:00,1047.05,1048.23,1031.27,1035.85,18890.08716
2021-01-05 10:00:00,1035.85,1041.7,1026.19,1029.9,17277.2387
2021-01-05 10:15:00,1029.88,1042.4,1029.88,1039.53,14227.73049
2021-01-05 10:30:00,1039.53,1039.9,1014.84,1021.19,22979.04362
2021-01-05 10:45:00,1021.19,1030.69,1015.36,1028.31,13108.16665
2021-01-05 11:00:00,1028.31,1036.59,1024.07,1032.59,17107.29095
2021-01-05 11:15:00,1032.6,1033.0,1024.19,1030.67,9418.41354
2021-01-05 11:30:00,1030.67,1041.0,1028.12,1040.0,15870.16265
2021-01-05 11:45:00,1040.0,1043.86,1034.28,1042.21,16503.78567
2021-01-05 12:00:00,1042.23,1055.0,1030.0,1039.53,30109.42143
2021-01-05 12:15:00,1039.53,1047.9,1035.0,1036.69,16595.07941
2021-01-05 12:30:00,1036.7,1039.91,1030.19,1034.95,11491.30553
2021-01-05 12:45:00,1034.95,1041.0,1027.27,1028.99,13446.7087
2021-01-05 13:00:00,1028.98,1039.87,1028.0,1038.75,15795.19084
2021-01-05 13:15:00,1038.75,1041.0,1033.01,1036.07,10261.30896
2021-01-05 13:30:00,1036.07,1040.35,1031.79,1040.25,9109.92911
2021-01-05 13:45:00,1040.26,1040.34,1020.46,1023.55,18642.08726
2021-01-05 14:00:00,1023.75,1026.0,1001.0,1014.0,49561.71146
2021-01-05 14:15:00,1013.99,1023.18,1010.8,1021.54,19747.3138
2021-01-05 14:30:00,1021.54,1037.0,1018.49,1036.65,17349.14493
2021-01-05 14:45:00,1036.65,1048.23,1031.55,1047.9,28471.50316
2021-01-05 15:00:00,1047.94,1049.55,1036.0,1039.64,16496.21235
2021-01-05 15:15:00,1039.65,1064.0,1039.65,1052.73,33212.76936
2021-01-05 15:30:00,1052.81,1055.36,1043.92,1046.6,21762.69512
2021-01-05 15:45:00,1046.6,1053.76,1044.06,1052.82,14036.64922
2021-01-05 16:00:00,1052.83,1058.63,1036.29,1056.21,30622.6122
2021-01-05 16:15:00,1055.98,1084.0,1055.89,1075.0,45759.07544
2021-01-05 16:30:00,1075.18,1075.65,1063.44,1069.28,23296.58648
2021-01-05 16:45:00,1069.16,1070.0,1059.23,1065.84,18491.8963
2021-01-05 17:00:00,1065.85,1075.0,1061.01,1062.44,19279.24984
2021-01-05 17:15:00,1062.67,1069.7,1060.7,1064.0,14480.08752
2021-01-05 17:30:00,1064.0,1073.94,1061.0,1071.2,14082.65777
2021-01-05 17:45:00,1071.16,1084.55,1070.82,1081.73,18844.14272
2021-01-05 18:00:00,1081.99,1094.86,1081.57,1090.46,30657.22167
